Connected to the server
Starting a file upload...
received ACK(132)from the server('127.0.0.1', 4000).
received ACK(133)from the server('127.0.0.1', 4000).
received ACK(134)from the server('127.0.0.1', 4000).
received ACK(135)from the server('127.0.0.1', 4000).
received ACK(136)from the server('127.0.0.1', 4000).
received ACK(137)from the server('127.0.0.1', 4000).
received ACK(138)from the server('127.0.0.1', 4000).
received ACK(139)from the server('127.0.0.1', 4000).
received ACK(140)from the server('127.0.0.1', 4000).
received ACK(141)from the server('127.0.0.1', 4000).
received ACK(142)from the server('127.0.0.1', 4000).
received ACK(143)from the server('127.0.0.1', 4000).
received ACK(144)from the server('127.0.0.1', 4000).
received ACK(145)from the server('127.0.0.1', 4000).
received ACK(146)from the server('127.0.0.1', 4000).
received ACK(147)from the server('127.0.0.1', 4000).
received ACK(148)from the server('127.0.0.1', 4000).
received ACK(149)from the server('127.0.0.1', 4000).
received ACK(150)from the server('127.0.0.1', 4000).
received ACK(151)from the server('127.0.0.1', 4000).
received ACK(152)from the server('127.0.0.1', 4000).
received ACK(153)from the server('127.0.0.1', 4000).
received ACK(154)from the server('127.0.0.1', 4000).
received ACK(155)from the server('127.0.0.1', 4000).
received ACK(156)from the server('127.0.0.1', 4000).
received ACK(157)from the server('127.0.0.1', 4000).
received ACK(158)from the server('127.0.0.1', 4000).
received ACK(159)from the server('127.0.0.1', 4000).
received ACK(160)from the server('127.0.0.1', 4000).
received ACK(161)from the server('127.0.0.1', 4000).
received ACK(162)from the server('127.0.0.1', 4000).
received ACK(163)from the server('127.0.0.1', 4000).
received ACK(164)from the server('127.0.0.1', 4000).
received ACK(165)from the server('127.0.0.1', 4000).
received ACK(166)from the server('127.0.0.1', 4000).
received ACK(167)from the server('127.0.0.1', 4000).
received ACK(168)from the server('127.0.0.1', 4000).
received ACK(169)from the server('127.0.0.1', 4000).
received ACK(170)from the server('127.0.0.1', 4000).
received ACK(171)from the server('127.0.0.1', 4000).
received ACK(172)from the server('127.0.0.1', 4000).
received ACK(173)from the server('127.0.0.1', 4000).
received ACK(174)from the server('127.0.0.1', 4000).
received ACK(175)from the server('127.0.0.1', 4000).
received ACK(176)from the server('127.0.0.1', 4000).
received ACK(177)from the server('127.0.0.1', 4000).
received ACK(178)from the server('127.0.0.1', 4000).
received ACK(179)from the server('127.0.0.1', 4000).
received ACK(180)from the server('127.0.0.1', 4000).
received ACK(181)from the server('127.0.0.1', 4000).
received ACK(182)from the server('127.0.0.1', 4000).
received ACK(183)from the server('127.0.0.1', 4000).
received ACK(184)from the server('127.0.0.1', 4000).
received ACK(185)from the server('127.0.0.1', 4000).
received ACK(186)from the server('127.0.0.1', 4000).
received ACK(187)from the server('127.0.0.1', 4000).
received ACK(188)from the server('127.0.0.1', 4000).
received ACK(189)from the server('127.0.0.1', 4000).
received ACK(190)from the server('127.0.0.1', 4000).
received ACK(191)from the server('127.0.0.1', 4000).
received ACK(192)from the server('127.0.0.1', 4000).
received ACK(193)from the server('127.0.0.1', 4000).
received ACK(194)from the server('127.0.0.1', 4000).
received ACK(195)from the server('127.0.0.1', 4000).
received ACK(196)from the server('127.0.0.1', 4000).
received ACK(197)from the server('127.0.0.1', 4000).
received ACK(198)from the server('127.0.0.1', 4000).
received ACK(199)from the server('127.0.0.1', 4000).
received ACK(200)from the server('127.0.0.1', 4000).
received ACK(201)from the server('127.0.0.1', 4000).
received ACK(202)from the server('127.0.0.1', 4000).
received ACK(203)from the server('127.0.0.1', 4000).
received ACK(204)from the server('127.0.0.1', 4000).
received ACK(205)from the server('127.0.0.1', 4000).
received ACK(206)from the server('127.0.0.1', 4000).
received ACK(207)from the server('127.0.0.1', 4000).
received ACK(208)from the server('127.0.0.1', 4000).
received ACK(209)from the server('127.0.0.1', 4000).
received ACK(210)from the server('127.0.0.1', 4000).
received ACK(211)from the server('127.0.0.1', 4000).
received ACK(212)from the server('127.0.0.1', 4000).
received ACK(213)from the server('127.0.0.1', 4000).
received ACK(214)from the server('127.0.0.1', 4000).
received ACK(215)from the server('127.0.0.1', 4000).
received ACK(216)from the server('127.0.0.1', 4000).
received ACK(217)from the server('127.0.0.1', 4000).
received ACK(218)from the server('127.0.0.1', 4000).
received ACK(219)from the server('127.0.0.1', 4000).
received ACK(220)from the server('127.0.0.1', 4000).
received ACK(221)from the server('127.0.0.1', 4000).
received ACK(222)from the server('127.0.0.1', 4000).
received ACK(223)from the server('127.0.0.1', 4000).
received ACK(224)from the server('127.0.0.1', 4000).
received ACK(225)from the server('127.0.0.1', 4000).
received ACK(226)from the server('127.0.0.1', 4000).
received ACK(227)from the server('127.0.0.1', 4000).
received ACK(228)from the server('127.0.0.1', 4000).
received ACK(229)from the server('127.0.0.1', 4000).
received ACK(230)from the server('127.0.0.1', 4000).
received ACK(231)from the server('127.0.0.1', 4000).
received ACK(232)from the server('127.0.0.1', 4000).
received ACK(233)from the server('127.0.0.1', 4000).
received ACK(234)from the server('127.0.0.1', 4000).
received ACK(235)from the server('127.0.0.1', 4000).
received ACK(236)from the server('127.0.0.1', 4000).
received ACK(237)from the server('127.0.0.1', 4000).
received ACK(238)from the server('127.0.0.1', 4000).
received ACK(239)from the server('127.0.0.1', 4000).
received ACK(240)from the server('127.0.0.1', 4000).
received ACK(241)from the server('127.0.0.1', 4000).
received ACK(242)from the server('127.0.0.1', 4000).
received ACK(243)from the server('127.0.0.1', 4000).
received ACK(244)from the server('127.0.0.1', 4000).
received ACK(245)from the server('127.0.0.1', 4000).
received ACK(246)from the server('127.0.0.1', 4000).
received ACK(247)from the server('127.0.0.1', 4000).
received ACK(248)from the server('127.0.0.1', 4000).
received ACK(249)from the server('127.0.0.1', 4000).
received ACK(250)from the server('127.0.0.1', 4000).
received ACK(251)from the server('127.0.0.1', 4000).
received ACK(252)from the server('127.0.0.1', 4000).
received ACK(253)from the server('127.0.0.1', 4000).
received ACK(254)from the server('127.0.0.1', 4000).
received ACK(255)from the server('127.0.0.1', 4000).
received ACK(256)from the server('127.0.0.1', 4000).
received ACK(257)from the server('127.0.0.1', 4000).
received ACK(258)from the server('127.0.0.1', 4000).
received ACK(259)from the server('127.0.0.1', 4000).
received ACK(260)from the server('127.0.0.1', 4000).
received ACK(261)from the server('127.0.0.1', 4000).
received ACK(262)from the server('127.0.0.1', 4000).
received ACK(263)from the server('127.0.0.1', 4000).
received ACK(264)from the server('127.0.0.1', 4000).
received ACK(265)from the server('127.0.0.1', 4000).
received ACK(266)from the server('127.0.0.1', 4000).
received ACK(267)from the server('127.0.0.1', 4000).
received ACK(268)from the server('127.0.0.1', 4000).
received ACK(269)from the server('127.0.0.1', 4000).
received ACK(270)from the server('127.0.0.1', 4000).
received ACK(271)from the server('127.0.0.1', 4000).
received ACK(272)from the server('127.0.0.1', 4000).
received ACK(273)from the server('127.0.0.1', 4000).
received ACK(274)from the server('127.0.0.1', 4000).
received ACK(275)from the server('127.0.0.1', 4000).
received ACK(276)from the server('127.0.0.1', 4000).
received ACK(277)from the server('127.0.0.1', 4000).
received ACK(278)from the server('127.0.0.1', 4000).
received ACK(279)from the server('127.0.0.1', 4000).
received ACK(280)from the server('127.0.0.1', 4000).
received ACK(281)from the server('127.0.0.1', 4000).
received ACK(282)from the server('127.0.0.1', 4000).
received ACK(283)from the server('127.0.0.1', 4000).
received ACK(284)from the server('127.0.0.1', 4000).
received ACK(285)from the server('127.0.0.1', 4000).
received ACK(286)from the server('127.0.0.1', 4000).
received ACK(287)from the server('127.0.0.1', 4000).
received ACK(288)from the server('127.0.0.1', 4000).
received ACK(289)from the server('127.0.0.1', 4000).
received ACK(290)from the server('127.0.0.1', 4000).
received ACK(291)from the server('127.0.0.1', 4000).
received ACK(292)from the server('127.0.0.1', 4000).
received ACK(293)from the server('127.0.0.1', 4000).
received ACK(294)from the server('127.0.0.1', 4000).
received ACK(295)from the server('127.0.0.1', 4000).
received ACK(296)from the server('127.0.0.1', 4000).
received ACK(297)from the server('127.0.0.1', 4000).
received ACK(298)from the server('127.0.0.1', 4000).
received ACK(299)from the server('127.0.0.1', 4000).
received ACK(300)from the server('127.0.0.1', 4000).
received ACK(301)from the server('127.0.0.1', 4000).
received ACK(302)from the server('127.0.0.1', 4000).
received ACK(303)from the server('127.0.0.1', 4000).
received ACK(304)from the server('127.0.0.1', 4000).
received ACK(305)from the server('127.0.0.1', 4000).
received ACK(306)from the server('127.0.0.1', 4000).
received ACK(307)from the server('127.0.0.1', 4000).
received ACK(308)from the server('127.0.0.1', 4000).
received ACK(309)from the server('127.0.0.1', 4000).
received ACK(310)from the server('127.0.0.1', 4000).
received ACK(311)from the server('127.0.0.1', 4000).
received ACK(312)from the server('127.0.0.1', 4000).
received ACK(313)from the server('127.0.0.1', 4000).
received ACK(314)from the server('127.0.0.1', 4000).
received ACK(315)from the server('127.0.0.1', 4000).
received ACK(316)from the server('127.0.0.1', 4000).
received ACK(317)from the server('127.0.0.1', 4000).
received ACK(318)from the server('127.0.0.1', 4000).
received ACK(319)from the server('127.0.0.1', 4000).
received ACK(320)from the server('127.0.0.1', 4000).
received ACK(321)from the server('127.0.0.1', 4000).
received ACK(322)from the server('127.0.0.1', 4000).
received ACK(323)from the server('127.0.0.1', 4000).
received ACK(324)from the server('127.0.0.1', 4000).
received ACK(325)from the server('127.0.0.1', 4000).
received ACK(326)from the server('127.0.0.1', 4000).
received ACK(327)from the server('127.0.0.1', 4000).
received ACK(328)from the server('127.0.0.1', 4000).
received ACK(329)from the server('127.0.0.1', 4000).
received ACK(330)from the server('127.0.0.1', 4000).
received ACK(331)from the server('127.0.0.1', 4000).
received ACK(332)from the server('127.0.0.1', 4000).
received ACK(333)from the server('127.0.0.1', 4000).
received ACK(334)from the server('127.0.0.1', 4000).
